dataset,n_classes,features,sample_rate,noise_rate,epochs,batch_size,restore_best,model,data_length_time,n_h_block,n_train_h_block,n_valid_h_block,n_test_h_block,h_moving_step,segments_times,segments_overlaps,decision_times,decision_overlaps,inner_classifier,datetime,running_time,n_params,Core_mse_loss_mean,Core_mse_loss_std,Core_f1_mean,Core_f1_std,MS_mse_loss_mean,MS_mse_loss_std,MS_f1_mean,MS_f1_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/RSSI/,12,"['rssiOne', 'rssiTwo']",1,100,20,32,1,LR,-1,6,4,1,1,1,00:00:04,0.75,00:01:00,0,LR,2022:03:28 22:46:51,1 seconds,-1,0.133952028,0.003045959,0.139767931,0.010995909,0.075020969,0.001458356,0.136809296,0.028177489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/RSSI/,12,"['rssiOne', 'rssiTwo']",1,100,20,32,1,RF,-1,6,4,1,1,1,00:00:04,0.75,00:01:00,0,RF,2022:03:28 22:47:05,14 seconds,-1,0.093647145,0.000609041,0.073871423,0.011255675,0.077117999,0.00078732,0.154642574,0.037844758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/RSSI/,12,"['rssiOne', 'rssiTwo']",1,100,20,32,1,SVM,-1,6,4,1,1,1,00:00:04,0.75,00:01:00,0,SVM,2022:03:28 22:47:32,27 seconds,-1,0.134253821,0.00138924,0.109745804,0.007545805,0.085893098,0.002687716,0.083903447,0.024087905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/RSSI/,12,"['rssiOne', 'rssiTwo']",1,100,20,32,1,CNN_L,-1,6,4,1,1,1,00:00:04,0.75,00:01:00,0,CNN_L,2022:03:28 22:56:46,185 seconds,87228,0.071894261,0.001166095,0.174022169,0.013933897,0.068251634,0.000805502,0.258681874,0.050847765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/RSSI/,12,"['rssiOne', 'rssiTwo']",1,100,20,32,1,MLP,-1,6,4,1,1,1,00:00:04,0.75,00:01:00,0,MLP,2022:03:28 22:58:23,97 seconds,21516,0.072611678,0.000979947,0.155860142,0.01135425,0.069539712,0.00049629,0.153267103,0.022998014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/RSSI/,12,"['rssiOne', 'rssiTwo']",1,100,20,32,1,CNN_L,-1,6,4,1,1,1,00:01:00,0.75,00:01:00,0,CNN_L,2022:03:28 23:14:27,60 seconds,1004732,0.071413046,0.005097755,0.252143245,0.073758365,0.071413046,0.005097755,0.252143245,0.073758365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/RSSI/,12,"['rssiOne', 'rssiTwo']",1,100,20,32,1,MLP,-1,6,4,1,1,1,00:01:00,0.75,00:01:00,0,MLP,2022:03:28 23:14:41,14 seconds,136204,0.067746753,0.005566698,0.276840742,0.088782724,0.067746753,0.005566698,0.276840742,0.088782724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/RSSI/,12,"['rssiOne', 'rssiTwo']",1,100,20,32,1,KNN,-1,6,4,1,1,1,00:01:00,0.75,00:01:00,0,KNN,2022:03:28 23:14:43,2 seconds,-1,0.091433021,0.009734888,0.234187409,0.046862913,0.091433021,0.009734888,0.234187409,0.046862913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/RSSI/,12,"['rssiOne', 'rssiTwo']",1,100,20,32,1,LR,-1,6,4,1,1,1,00:01:00,0.75,00:01:00,0,LR,2022:03:28 23:14:45,1 seconds,-1,0.11869159,0.009103825,0.278166472,0.052824925,0.11869159,0.009103825,0.278166472,0.052824925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/RSSI/,12,"['rssiOne', 'rssiTwo']",1,100,20,32,1,RF,-1,6,4,1,1,1,00:01:00,0.75,00:01:00,0,RF,2022:03:28 23:14:48,3 seconds,-1,0.081619936,0.001427593,0.053832737,0.025850421,0.081619936,0.001427593,0.053832737,0.025850421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
